## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12638327.sorted.bam --OUTPUT bams/SRR12638327.sorted.markdup.bam --METRICS_FILE stats/SRR12638327.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 19:34:15 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	855	427683	1626	72185	841	192405	0	0.450411	318351

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	162338	162338
2.0	1.260947	37140	37140
3.0	1.329041	14886	14886
4.0	1.34681	7265	7265
5.0	1.351447	4130	4130
6.0	1.352657	2584	2584
7.0	1.352973	1652	1652
8.0	1.353055	1197	1197
9.0	1.353077	855	855
10.0	1.353082	636	636
11.0	1.353084	469	469
12.0	1.353084	359	359
13.0	1.353084	259	259
14.0	1.353084	237	237
15.0	1.353084	177	177
16.0	1.353084	151	151
17.0	1.353084	146	146
18.0	1.353084	100	100
19.0	1.353084	74	74
20.0	1.353084	74	74
21.0	1.353084	72	72
22.0	1.353084	47	47
23.0	1.353084	51	51
24.0	1.353084	36	36
25.0	1.353084	37	37
26.0	1.353084	23	23
27.0	1.353084	23	23
28.0	1.353084	17	17
29.0	1.353084	16	16
30.0	1.353084	17	17
31.0	1.353084	18	18
32.0	1.353084	15	15
33.0	1.353084	16	16
34.0	1.353084	9	9
35.0	1.353084	11	11
36.0	1.353084	12	12
37.0	1.353084	8	8
38.0	1.353084	4	4
39.0	1.353084	6	6
40.0	1.353084	7	7
41.0	1.353084	8	8
42.0	1.353084	6	6
43.0	1.353084	7	7
44.0	1.353084	7	7
45.0	1.353084	6	6
46.0	1.353084	8	8
47.0	1.353084	2	2
48.0	1.353084	4	4
49.0	1.353084	3	3
50.0	1.353084	2	2
51.0	1.353084	1	1
52.0	1.353084	4	4
53.0	1.353084	4	4
54.0	1.353084	7	7
55.0	1.353084	0	0
56.0	1.353084	3	3
57.0	1.353084	3	3
58.0	1.353084	3	3
59.0	1.353084	1	1
60.0	1.353084	0	0
61.0	1.353084	0	0
62.0	1.353084	0	0
63.0	1.353084	1	1
64.0	1.353084	1	1
65.0	1.353084	2	2
66.0	1.353084	1	1
67.0	1.353084	1	1
68.0	1.353084	1	1
69.0	1.353084	0	0
70.0	1.353084	1	1
71.0	1.353084	1	1
72.0	1.353084	1	1
73.0	1.353084	2	2
74.0	1.353084	0	0
75.0	1.353084	1	1
76.0	1.353084	0	0
77.0	1.353084	1	1
78.0	1.353084	0	0
79.0	1.353084	0	0
80.0	1.353084	0	0
81.0	1.353084	0	0
82.0	1.353084	1	1
83.0	1.353084	0	0
84.0	1.353084	0	0
85.0	1.353084	2	2
86.0	1.353084	0	0
87.0	1.353084	0	0
88.0	1.353084	2	2
89.0	1.353084	0	0
90.0	1.353084	2	2
91.0	1.353084	1	1
92.0	1.353084	0	0
93.0	1.353084	0	0
94.0	1.353084	0	0
95.0	1.353084	0	0
96.0	1.353084	0	0
97.0	1.353084	0	0
98.0	1.353084	0	0
99.0	1.353084	0	0
100.0	1.353084	0	0
108.0	0	1	1
109.0	0	1	1
113.0	0	1	1

